Devan Tanton, DEF
Matt Targett, DEF
James Tarkowski, DEF
Jimi Tauriainen, MID
Marcus Tavernier, MID
Charlie Taylor, DEF
Slobodan Tedic, FWD
Nathan Tella, MID
Kenny Tete, DEF
Thiago Silva, DEF
Bobby Thomas, DEF
Elliot Thorpe, MID
Youri Tielemans, MID
Kieran Tierney, DEF
Jurriën Timber, DEF
Harry Toffolo, DEF
Takehiro Tomiyasu, DEF
James Tomkins, DEF
Sandro Tonali, MID
Ivan Toney, FWD
Pau Torres, DEF
Toti Gomes, DEF
Andros Townsend, MID
James Trafford, GK
Bertrand Traoré, FWD
Mark Travers, GK
Mike Trésor, FWD
Ryan Trevitt, MID
Kieran Trippier, DEF
Leandro Trossard, FWD
Auston Trusty, DEF
Kostas Tsimikas, DEF
Matt Turner, GK
Jay Turner-Cooke, MID
Ed Turns, DEF
Scott Twine, MID
Destiny Udogie, DEF
Lesley Ugochukwu, MID
Franco Umeh-Chibueze, FWD
Enes Ünal, FWD
Deniz Undav, FWD
Hákon Valdimarsson, GK
Harvey Vale, MID
Joel Valencia, FWD
Donny van de Beek, MID
Micky van de Ven, DEF
Sepp van den Berg, DEF
Virgil van Dijk, DEF
Jan Paul van Hecke, DEF
Raphaël Varane, DEF
Alejo Véliz, FWD
Joël Veltman, DEF
Bart Verbruggen, GK
Guglielmo Vicario, GK
Lawrence Vigouroux, GK
Matías Viña, DEF
Vinicius Souza, MID
Radek Vítek, GK
Vitinho, DEF
Odysseas Vlachodimos, GK
Nikola Vlasic, MID
Jack Wadham, MID
Ethan Wady, GK
Kyle Walker, DEF
Reuell Walters, DEF
Jack Walton, GK
Aaron Wan-Bissaka, DEF
Joel Ward, DEF
James Ward-Prowse, MID
Lewis Warrington, MID
Ollie Watkins, FWD
Louie Watson, MID
Kelland Watts, DEF
Adam Webster, DEF
Wout Weghorst, FWD
Jensen Weir, MID
Danny Welbeck, FWD
Reece Welch, DEF
Jack Wells-Morrison, MID
Timo Werner, FWD
Wesley, FWD
Adam Wharton, MID
Ethan Wheatley, FWD
Ben White, DEF
Alfie Whiteman, GK
Matthew Whittingham, MID
Joe Whitworth, GK
George Wickens, GK
Dylan Williams, DEF
Willian, FWD
Joe Willock, MID
Harry Wilson, MID
Josh Wilson-Esbrand, DEF
Harry Winks, MID
Yoane Wissa, MID
Chris Wood, FWD
Cauley Woodrow, FWD
Tom Wooster, GK
Joe Worrall, DEF
James Wright, GK
Granit Xhaka, MID
Yan Couto, DEF
Yehor Yarmoliuk, MID
Ryan Yates, MID
Ashley Young, DEF
Nathan Young-Coombes, FWD
Youssef Chermiti, FWD
Illia Zabarnyi, DEF
Wilfried Zaha, FWD
Denis Zakaria, MID
Nicolò Zaniolo, MID
Zanka, DEF
Anass Zaroury, FWD
Jordan Zemura, DEF
Andi Zeqiri, FWD
Zidane Iqbal, MID
Oleksandr Zinchenko, DEF
Hakim Ziyech, MID
Kurt Zouma, DEF
Oliwier Zych, GK
Martin Ødegaard, MID
Sadio Mane, FWD
Harry Kane, FWD
Cristiano Ronaldo, FWD
N'Golo Kanté, MID
Angel Di Maria, FWD
Jamie Vardy, FWD
Leroy Sané, FWD
Raphinha, FWD
Andreas Christensen, DEF
Thibaut Courtois, GK
Brahim Díaz, MID
Ferran Torres, FWD
Álvaro Morata, FWD
Antonio Rüdiger, DEF
Mason Greenwood, FWD
Olivier Giroud, FWD
Nani, FWD
Patson Daka, FWD
